,Unnamed: 0,pdb,Lchain,Hchain,antigen_chain
6,6,8dul,L,H,A
280,280,7rd5,B,A,F
399,399,6xcj,L,H,G
359,359,7kew,G,J,A
108,108,5mhr,O,P,E
63,63,8dua,L,H,B
548,548,2r0l,L,H,B;A
139,139,6kyz,C,B,A
64,64,7u8g,D,E,A
545,545,1tqb,C,B,A
364,364,1dee,F,E,H
226,226,1i9r,K,M,B
395,395,6u9s,B,A,C
45,45,7tn9,B,A,U
142,142,5dwu,L,H,A
80,80,7u9g,G,D,B
14,14,8cxc,L,H,M
133,133,7dm1,C,D,A
238,238,7dkj,C,D,A
128,128,6svl,O,P,R
503,503,7n0a,B,A,C
123,123,1ezv,X,Y,E
459,459,1rvf,L,H,1
323,323,1jrh,L,H,I
100,100,6v4n,C,G,M
408,408,5u3m,L,H,A
102,102,6xp6,G,H,A
389,389,4oii,I,M,B
319,319,5fcu,L,H,G
189,189,5hbt,C,D,B
514,514,5mhs,D,E,B
194,194,6vtt,L,H,G
477,477,4fqj,L,H,A
546,546,1xiw,C,D,B;A
191,191,6cw2,B,A,D
213,213,1bgx,L,H,T
192,192,6pis,I,M,A
473,473,3u4e,L,H,G
46,46,8db4,B,A,E
248,248,6lz9,L,H,B
366,366,1tzi,B,A,V
282,282,6ogx,C,D,G
129,129,6a77,L,H,A
13,13,8esv,L,H,A
378,378,3j1s,L,H,A
228,228,5i6x,C,B,A
92,92,4hc1,N,M,B
276,276,4plj,L,H,A
445,445,6al5,L,H,A
350,350,7sfv,N,M,B
320,320,2b2x,L,H,A
435,435,4ywg,I,M,Q
251,251,6cwt,C,D,F
61,61,7wg3,A,E,I
76,76,8a1e,D,E,A
113,113,7jkt,L,H,G
365,365,7dfp,C,B,A
355,355,1uj3,B,A,C
300,300,5t1d,L,H,B
225,225,2aep,L,H,A
497,497,7nwl,D,E,B
33,33,7ty0,J,N,D
299,299,7bbj,N,M,B
104,104,6r0x,C,D,F
144,144,3eo1,G,H,I
24,24,7zqt,C,D,A
498,498,4dtg,L,H,K
188,188,6vn1,J,N,C
169,169,7ahu,B,A,E
214,214,4leo,B,A,C
93,93,3hi6,L,H,A
507,507,6gku,L,H,A
334,334,6ztr,L,H,I
152,152,7kql,L,H,T
82,82,7fbi,L,H,A
88,88,7dc8,B,A,C
87,87,6myy,F,G,E
206,206,6oe4,F,E,D
437,437,7m30,F,G,C
310,310,1kb5,L,H,A
436,436,5eu7,F,D,B
462,462,6mtt,L,H,P
499,499,6ad0,L,H,A
356,356,6aod,B,A,C
50,50,7ox3,B,A,C
239,239,3kr3,L,H,D
329,329,4r2g,N,M,A
153,153,4g80,G,H,I
39,39,8ath,F,E,B
489,489,2oz4,L,H,A
84,84,4ypg,L,H,D
270,270,5grj,L,H,A
346,346,4oqt,L,H,A
34,34,7rfp,L,H,A
200,200,4i2x,C,D,F
505,505,1rjl,B,A,C
427,427,6dkj,L,H,C
529,529,1yjd,L,H,C
166,166,5umi,B,A,C
303,303,6w16,L,H,F
547,547,2q8b,L,H,A
302,302,6b0n,D,E,G
162,162,5c8j,B,A,I
420,420,7k9j,L,H,A
479,479,6gv1,L,H,A
487,487,4ag4,L,H,A
262,262,6blh,L,H,G
500,500,1fns,L,H,A
195,195,2i9l,F,E,K
267,267,1a2y,B,A,C
184,184,3u9p,L,H,D
484,484,6oel,L,H,B
363,363,1fsk,I,H,G
448,448,5n7w,L,H,X
43,43,8d1t,L,H,A
42,42,8hpj,C,B,A
172,172,6aj7,L,H,C
400,400,6p67,F,E,G
197,197,3u9u,B,A,F
432,432,7joo,L,H,C
83,83,1nca,L,H,N
205,205,5nuz,L,H,D
325,325,7kgv,C,E,B
481,481,6x4t,F,D,A
495,495,7jtg,B,A,E
170,170,5c0r,L,H,A
105,105,1sy6,L,H,A
210,210,1nfd,G,H,D
289,289,6lhq,L,H,A
342,342,6ddr,B,A,C
140,140,4xi5,C,D,B
429,429,4lu5,I,M,A
502,502,6nyq,L,H,C
146,146,4iof,F,E,B
327,327,6gff,N,M,J
112,112,7lex,P,R,J
444,444,6lbh,C,D,B
314,314,7s13,I,M,C
441,441,4r4h,L,H,A
96,96,3q3g,J,K,L
1,1,8tco,D,E,B
278,278,6wzt,L,H,A
341,341,6xob,T,S,K
241,241,3hmx,L,H,A
354,354,7nx3,D,E,A
232,232,7bsd,L,H,I
465,465,3v4p,L,H,B
424,424,4hwb,L,H,A
60,60,7ugq,G,J,A
193,193,6p62,C,D,B
12,12,8da0,B,A,E
407,407,6rps,N,M,B
338,338,2jel,L,H,P
21,21,8h07,J,E,C
272,272,7rt9,C,D,Z
464,464,6s5a,L,H,D
173,173,1fj1,B,A,F
38,38,7zmk,C,B,D
345,345,6cyf,F,E,B
274,274,6xxv,B,A,C
524,524,5tpn,L,H,A
369,369,4mxv,L,H,A
349,349,3vg9,C,B,A
245,245,5vyf,B,A,C
383,383,3zkm,L,H,A
94,94,6nms,B,A,C
421,421,7jr7,C,D,B
301,301,6wmw,L,H,B
531,531,3tt3,L,H,A
130,130,6vvu,J,K,B
71,71,7tuf,L,H,D
186,186,5o1r,L,H,A
317,317,7llk,G,H,E
372,372,3h0t,B,A,C
167,167,4o02,L,H,A
425,425,6lyn,B,A,C
110,110,7vux,L,H,A
137,137,6k68,C,D,E
16,16,8ejj,L,H,c
307,307,6cnj,F,G,C
357,357,5yhl,L,H,A
340,340,1nsn,L,H,S
91,91,6z7w,C,D,K
101,101,2vwe,C,E,A
204,204,3t2n,L,H,A
295,295,6vx4,K,H,F
176,176,6wn1,F,E,D
17,17,8slb,L,H,A
20,20,8gnk,L,H,A
263,263,4r0l,L,H,D
406,406,4zxb,C,D,E
136,136,6y9b,J,N,B
496,496,5vgj,L,H,G
390,390,3d85,B,A,C
69,69,7srs,Q,P,R
223,223,6ktr,B,A,C
382,382,2zjs,L,H,Y
386,386,6m3c,J,K,G
312,312,6woq,C,D,F
431,431,4jr9,L,H,A
385,385,3o6l,L,H,C
336,336,7qu1,B,A,C
377,377,6ppg,L,H,F
428,428,3s35,L,H,X
182,182,5yoy,P,M,K
530,530,6gg0,L,H,4
185,185,5o6v,L,H,B
326,326,7so5,L,H,A
132,132,7chz,L,H,I
344,344,5ob5,L,H,A
177,177,4ydj,B,A,I
347,347,2arj,L,H,Q
419,419,7rxc,L,H,B
461,461,5xjm,L,H,A
379,379,3ubx,L,H,A
19,19,8ee0,L,H,A
48,48,8hc7,L,H,C
333,333,4xmp,L,H,G
518,518,6gv4,L,H,B
527,527,5jq6,L,H,A
455,455,6mlk,L,H,A
116,116,1lk3,I,M,B
411,411,1yy9,C,D,A
235,235,4idj,L,H,A
351,351,1pkq,B,A,E
285,285,5hi3,C,D,A
544,544,1ors,B,A,C
470,470,7ahv,B,A,H
246,246,5kn5,D,E,F
519,519,7o52,L,H,U
111,111,6nc2,U,P,J
201,201,7lbe,G,H,A
413,413,2nr6,F,E,B
37,37,8hs2,C,B,R
118,118,5y9f,O,P,C
277,277,3w2d,L,H,A
233,233,5w3e,G,E,B
536,536,6ko5,L,H,A
23,23,7yru,L,H,A
258,258,4qww,C,D,B
309,309,3kj4,L,H,A
90,90,2r56,I,M,B
332,332,6pv7,F,G,D
28,28,7umn,L,H,A
35,35,6wjl,L,H,G
517,517,2qqn,L,H,A
207,207,6iec,J,K,I
405,405,5k59,F,E,B
178,178,6hx4,L,H,B
81,81,7ura,L,H,A
57,57,7xy8,L,H,A
491,491,5zs0,B,A,C
121,121,5u8q,L,H,A
26,26,8euq,C,D,A
242,242,3bn9,C,D,B
403,403,7nrh,L,H,A
434,434,6wdt,L,H,A
4,4,8byu,L,H,A
305,305,7lfa,L,H,C
77,77,7sbd,L,H,C
217,217,7pi2,F,E,D
283,283,7ce2,B,Z,A
135,135,5lsp,L,H,A
318,318,5d1z,C,D,I
218,218,7sht,L,H,B
488,488,1ynt,C,D,G
523,523,6u6u,L,H,R
543,543,1oaz,L,H,A
468,468,3fmg,L,H,A
155,155,4aei,L,H,A
249,249,7rah,B,A,E
284,284,5ukr,L,H,G
508,508,2fd6,L,H,U
227,227,7sn3,F,G,B
410,410,6ukj,L,H,A
2,2,8gp5,F,E,X
36,36,8f5n,L,H,A
29,29,8ct6,L,H,A
522,522,1kcr,L,H,P
5,5,8dmj,D,E,C
293,293,5ywo,N,M,C
281,281,6jhq,D,E,C
32,32,7lx2,L,H,A
115,115,4uao,C,B,A
156,156,5w4l,D,E,G
525,525,4j6r,L,H,G
361,361,3ffd,B,A,P
409,409,5jz7,L,H,B
358,358,5u3l,L,H,P
511,511,7ncs,L,H,A
98,98,6s3t,N,M,A
74,74,7usl,L,H,C
259,259,5b3j,L,H,D
297,297,3ulv,L,H,A
143,143,5vl3,L,H,Q
41,41,8dg8,L,H,B
10,10,8e1m,L,H,C
179,179,4yue,L,H,C
7,7,8dun,L,H,G
208,208,5vob,L,H,D
148,148,4yc2,C,B,A
330,330,6fgb,L,H,A
375,375,6avq,L,H,B
440,440,4lsv,L,H,G
541,541,4zfg,L,H,A
321,321,3jau,L,H,A
414,414,6qd7,X,Z,F
291,291,3ld8,C,B,A
452,452,3bsz,N,M,E
415,415,3lev,L,H,A
49,49,7t82,C,D,A
376,376,6j6y,C,B,A
532,532,2qql,L,H,A
97,97,3opz,I,M,B
215,215,1w72,I,M,D
52,52,7wur,F,E,A
308,308,5mo9,L,H,X
315,315,2hfg,L,H,R
79,79,8djk,L,H,B
230,230,4jzj,L,H,C
391,391,3cvh,L,H,A
542,542,7k7h,L,H,A
119,119,6z3p,L,H,C
550,550,2uzi,L,H,R
394,394,4irz,L,H,A
540,540,7n3d,L,H,C
141,141,5k9o,L,H,I
15,15,8ejh,L,H,A
127,127,5fb8,B,A,C
86,86,7bh8,G,H,A
171,171,2jix,L,H,E
316,316,5veb,L,H,Y
353,353,7v61,I,M,D
27,27,7ur6,L,H,B
273,273,6fy1,L,H,G
234,234,6pwu,L,H,A
236,236,6umx,L,H,A
150,150,5dyo,L,H,A
492,492,3wih,L,H,A
67,67,7uvf,L,H,A
224,224,3rhw,F,N,B
252,252,7kbb,B,A,E
40,40,8df1,N,M,B
454,454,1ct8,B,A,D
472,472,6vgr,C,D,A
423,423,3r08,L,H,E
260,260,2q8a,L,H,A
131,131,4mwf,B,A,D
513,513,6meh,L,H,C
510,510,5t33,L,H,G
446,446,5e8e,B,A,H
196,196,6mhr,B,A,C
53,53,7u5b,B,A,J
125,125,6rcu,D,E,A
9,9,8deq,L,H,F
78,78,7vgr,C,D,A
401,401,4dw2,L,H,U
296,296,6x58,C,D,F
31,31,8d7e,G,F,C
482,482,5w5x,L,H,A
75,75,7yhk,F,H,A
476,476,6yio,L,H,B
388,388,4i3r,L,H,G
158,158,3jcx,L,H,A
352,352,6wit,L,H,I
54,54,8ddk,B,A,C
381,381,4ogy,L,H,A
250,250,6kz0,I,H,G
443,443,7kyo,L,H,B
328,328,6ww5,F,E,A
165,165,7kq7,L,H,B
264,264,6j15,L,H,D
51,51,7ox4,B,A,C
107,107,6z7y,B,A,H
59,59,7s1b,L,H,A
475,475,6osh,L,H,K
292,292,3mxw,L,H,A
335,335,4zfo,L,H,K
478,478,6wzm,C,D,F
85,85,6hga,L,H,B
521,521,7daa,L,H,A
181,181,6k7o,F,G,R
551,551,2xwt,B,A,C
466,466,4cni,L,H,C
457,457,5l6y,L,H,C
199,199,6i8s,G,K,C
490,490,4kvn,L,H,A
237,237,7q6c,L,H,A
231,231,6okp,Q,R,F
198,198,2adf,L,H,A
520,520,3uji,L,H,P
538,538,3mj9,L,H,A
279,279,2xqb,L,H,A
331,331,7vyt,C,B,A
506,506,4k24,L,H,U
190,190,6elu,K,L,J
451,451,6njl,N,M,B
