,Unnamed: 0,pdb,Lchain,Hchain,antigen_chain
134,134,4yzf,G,H,B
505,505,1rjl,B,A,C
144,144,3eo1,G,H,I
279,279,2xqb,L,H,A
48,48,8hc7,L,H,C
437,437,7m30,F,G,C
129,129,6a77,L,H,A
439,439,4nzr,L,H,M
168,168,5l0q,C,B,A
476,476,6yio,L,H,B
406,406,4zxb,C,D,E
545,545,1tqb,C,B,A
331,331,7vyt,C,B,A
442,442,5otj,L,H,C
239,239,3kr3,L,H,D
126,126,4yqx,L,H,A
40,40,8df1,N,M,B
193,193,6p62,C,D,B
132,132,7chz,L,H,I
197,197,3u9u,B,A,F
243,243,6iap,L,H,A
204,204,3t2n,L,H,A
388,388,4i3r,L,H,G
18,18,7quh,L,H,A
303,303,6w16,L,H,F
330,330,6fgb,L,H,A
87,87,6myy,F,G,E
159,159,7zxg,C,B,A
455,455,6mlk,L,H,A
431,431,4jr9,L,H,A
51,51,7ox4,B,A,C
189,189,5hbt,C,D,B
326,326,7so5,L,H,A
459,459,1rvf,L,H,1
30,30,8dmh,F,E,a
66,66,8cz5,L,H,A
553,553,2zch,L,H,P
548,548,2r0l,L,H,B;A
549,549,2r29,L,H,A
233,233,5w3e,G,E,B
425,425,6lyn,B,A,C
15,15,8ejh,L,H,A
174,174,3vrl,L,H,C
409,409,5jz7,L,H,B
269,269,3jwd,O,P,B
534,534,7f9w,C,B,A
355,355,1uj3,B,A,C
454,454,1ct8,B,A,D
446,446,5e8e,B,A,H
286,286,4zso,C,D,F
352,352,6wit,L,H,I
416,416,6wex,L,H,F
542,542,7k7h,L,H,A
521,521,7daa,L,H,A
419,419,7rxc,L,H,B
490,490,4kvn,L,H,A
376,376,6j6y,C,B,A
546,546,1xiw,C,D,B;A
25,25,8dn7,H,D,E
136,136,6y9b,J,N,B
244,244,4nnp,L,H,A
240,240,3p30,L,H,A
46,46,8db4,B,A,E
486,486,4ye4,L,H,G
83,83,1nca,L,H,N
118,118,5y9f,O,P,C
385,385,3o6l,L,H,C
479,479,6gv1,L,H,A
166,166,5umi,B,A,C
206,206,6oe4,F,E,D
452,452,3bsz,N,M,E
192,192,6pis,I,M,A
491,491,5zs0,B,A,C
59,59,7s1b,L,H,A
270,270,5grj,L,H,A
105,105,1sy6,L,H,A
138,138,6edu,L,M,D
55,55,7t0l,G,K,E
532,532,2qql,L,H,A
529,529,1yjd,L,H,C
56,56,7xmz,L,H,C
467,467,4f37,L,H,A
241,241,3hmx,L,H,A
218,218,7sht,L,H,B
88,88,7dc8,B,A,C
397,397,4zs7,L,H,A
24,24,7zqt,C,D,A
114,114,7lk4,F,E,P
139,139,6kyz,C,B,A
492,492,3wih,L,H,A
31,31,8d7e,G,F,C
424,424,4hwb,L,H,A
209,209,6bpe,F,E,D
329,329,4r2g,N,M,A
296,296,6x58,C,D,F
462,462,6mtt,L,H,P
306,306,5e8d,L,H,A
23,23,7yru,L,H,A
227,227,7sn3,F,G,B
164,164,4mhh,L,H,E
524,524,5tpn,L,H,A
322,322,2vxq,L,H,A
54,54,8ddk,B,A,C
